NSID	W8HHMID	W8DCHSEX	W8HHMDOBM	W8HHMDOBY	W8DHHMAGE	W8RAGE	W8RELTOKEY
NS10835Y	3	1	6	1994	21	-1	8
NS10839C	1	2	12	1965	49	-1	1
NS10839C	2	1	11	1973	41	-1	4
NS10843Q	1	2	-9	-9	-1	59	1
NS10843Q	2	1	-9	-9	-1	52	1
NS10845S	1	2	12	1960	54	-1	1
NS10845S	2	1	3	1961	54	-1	1
NS10850G	1	2	5	1964	51	-1	1
NS10850G	2	1	11	1996	19	-1	9
NS10854L	1	2	8	1969	46	-1	1
NS10854L	2	2	2	2010	6	-1	9
NS10855M	1	1	1	1988	27	-1	8
NS10861C	1	1	-9	-9	-1	-9	1
NS10861C	2	2	-9	-9	-1	-9	1
NS10861C	3	1	-9	-9	-1	-9	8
NS10861C	4	2	-9	-9	-1	-9	8
NS10861C	5	2	-9	-9	-1	-9	8
NS10867J	1	1	5	1990	25	-1	17
NS10870W	1	2	-9	-9	-1	27	8
NS10870W	2	2	-9	-9	-1	26	8
NS10870W	3	2	-9	-9	-1	66	1
NS10881R	1	1	9	1957	58	-1	1
NS10881R	2	2	11	1959	56	-1	1
NS10882S	1	2	3	1960	55	-1	1
NS10882S	2	1	2	1964	51	-1	1
NS10882S	3	1	8	1992	23	-1	8
NS10884V	1	1	7	1987	28	-1	8
NS10893N	1	1	-9	-9	-1	63	15
NS10893N	2	2	-9	-9	-1	60	15
NS10893N	3	2	3	1981	34	-1	15
NS10898T	1	2	4	1990	25	-1	17
NS10898T	2	1	2	1990	25	-1	17
NS10898T	3	1	4	1990	25	-1	17
NS10898T	4	1	7	1990	25	-1	17
NS10901M	1	2	3	1968	48	-1	1
NS10901M	2	2	9	1994	21	-1	8
NS10902N	1	2	1	1992	24	-1	17
NS10903P	1	1	1	1964	52	-1	1
NS10908V	1	1	-9	-9	-1	55	1
NS10908V	2	2	-9	-9	-1	55	1
NS10908V	3	1	-9	-9	-1	22	8
NS10926G	1	2	12	1957	57	-1	1
NS10926G	2	1	9	1964	51	-1	4
NS10926G	3	2	1	1994	21	-1	8
NS10926G	4	2	1	1994	21	-1	8
NS10930V	1	1	7	1990	25	-1	8
NS10930V	2	1	3	1954	61	-1	23
NS10930V	3	2	6	1962	53	-1	1
NS10931W	1	2	-9	-9	-1	55	19
NS10931W	2	1	-9	-9	-1	62	1
NS10941Q	1	1	-9	-9	-1	-8	1
NS10943S	1	1	-9	-9	-1	56	1
NS10943S	2	2	-9	-9	-1	45	1
NS10943S	3	1	-9	-9	-1	27	8
NS10943S	4	1	-9	-9	-1	23	8
NS10944T	1	1	5	1989	27	-1	8
NS10944T	2	2	4	1953	63	-1	1
NS10947X	1	2	11	1989	26	-1	17
NS10947X	2	2	8	1983	32	-1	17
NS10947X	3	2	1	1988	28	-1	17
NS10950J	1	2	1	1966	50	-1	1
NS10950J	2	1	4	1988	28	-1	8
NS10952L	1	1	8	1959	56	-1	1
NS10952L	2	2	4	1961	54	-1	1
NS10955P	1	2	1	1951	64	-1	1
NS10955P	2	1	4	1947	68	-1	1
NS10955P	3	1	10	1985	30	-1	8
NS10958S	1	2	8	1988	27	-1	8
NS10958S	2	1	6	1997	18	-1	8
NS10958S	3	1	8	1966	49	-1	1
NS10958S	4	2	12	1966	49	-1	1
NS10968M	1	1	-9	-9	-1	50	1
NS10968M	2	2	-9	-9	-1	46	1
NS10968M	3	2	-9	-9	-1	16	8
NS10968M	4	2	-9	-9	-1	75	14
NS10968M	5	1	-9	-9	-1	78	14
NS10970Y	1	1	-9	-9	-1	26	23
NS10970Y	2	2	-9	-9	-1	-9	17
