NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10093W	2	1	-8	-8	7	1	6	2010
NS10093W	3	5	-8	-8	7	1	6	2010
NS10093W	4	5	2008	11	6	1	6	2009
NS10093W	5	2	2008	9	6	1	6	2009
NS10093W	6	2	-6	-1	6	1	6	2009
NS10093W	7	2	2006	9	5	1	6	2008
NS10093W	8	2	2006	-2	4	1	7	2007
NS10094X	1	1	2013	9	8	1	1	2016
NS10094X	2	3	2013	3	8	1	1	2016
NS10094X	3	1	2012	7	8	1	1	2016
NS10094X	4	1	2011	7	8	1	1	2016
NS10094X	5	2	2008	10	8	1	1	2016
NS10094X	6	2	-7	-7	7	1	5	2010
NS10094X	7	2	2008	9	6	1	6	2009
NS10094X	8	2	-5	-1	5	1	7	2008
NS10094X	9	2	2006	-2	4	1	7	2007
NS10095Y	1	1	2016	1	8	1	1	2016
NS10095Y	2	1	2011	11	8	1	1	2016
NS10095Y	3	1	2011	6	8	1	1	2016
NS10095Y	4	2	2008	9	8	1	1	2016
NS10095Y	5	2	-7	-7	7	1	5	2010
NS10095Y	6	2	2008	9	6	1	5	2009
NS10095Y	7	2	2006	9	5	1	6	2008
NS10095Y	8	2	2006	-2	4	1	7	2007
NS10096Z	1	1	2007	7	8	1	12	2015
NS10096Z	2	1	-7	-7	7	1	7	2010
NS10096Z	3	1	2007	7	6	1	7	2009
NS10096Z	4	1	2007	6	5	1	7	2008
NS10096Z	5	2	2006	-2	4	1	7	2007
NS10097A	1	4	2013	11	8	1	9	2015
NS10097A	2	1	2012	3	8	1	9	2015
NS10097A	3	5	2010	1	8	1	9	2015
NS10097A	4	2	2008	9	8	1	9	2015
NS10097A	5	2	-6	-1	6	1	5	2009
NS10097A	6	2	2006	9	5	1	8	2008
NS10097A	7	2	2006	-2	4	1	8	2007
NS10100T	1	1	2012	9	8	1	10	2015
NS10100T	2	2	2009	9	8	1	10	2015
NS10100T	3	2	-8	-8	7	1	6	2010
NS10100T	4	1	-8	-8	7	1	6	2010
NS10100T	5	1	2008	4	6	1	8	2009
NS10100T	6	2	2006	9	5	1	9	2008
NS10100T	7	2	2006	-2	4	1	7	2007
NS10101V	1	4	2012	1	8	1	9	2015
NS10101V	2	1	2011	7	8	1	9	2015
NS10101V	3	1	2008	-8	8	1	9	2015
NS10101V	4	4	-8	-8	7	1	6	2010
NS10101V	5	3	-8	-8	7	1	6	2010
NS10101V	6	3	2009	4	6	1	5	2009
NS10101V	7	1	2008	5	6	1	5	2009
NS10101V	8	3	2007	12	5	1	7	2008
NS10101V	9	5	2006	9	5	1	7	2008
NS10101V	10	5	2006	-2	4	1	7	2007
NS10102W	1	2	2006	9	5	1	6	2008
NS10102W	2	2	2006	-2	4	1	7	2007
NS10103X	1	1	2007	10	5	1	7	2008
NS10103X	2	2	2006	9	5	1	7	2008
NS10103X	3	2	2006	-2	4	1	7	2007
NS10104Y	1	1	2014	4	8	1	1	2016
NS10104Y	2	1	2009	6	8	1	1	2016
NS10104Y	3	2	2008	9	8	1	1	2016
NS10104Y	4	2	2007	9	8	1	1	2016
NS10104Y	5	2	1994	9	8	1	1	2016
NS10105Z	1	6	2015	9	8	1	2	2016
