NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS25695Z	10313	103	2.38261952383719	1	7	2008	1	-91	-91	1	-1	-91	-91	1	2	-91	-91	-91	2	2	-91	51	11	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	2	-91	2	14.3	8.2	8	4
NS25696A	11448	114	1.05065389236879	1	9	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	-95	31	1	1	1	2	-91	-91	-91	-91	32	85	1	1	5	6	2	3	1	1	1	1	6	-94	4.1	16	2	-94
NS25697B	12040	120	1.09089775852559	3	6	2008	1	-91	-91	1	1	-91	-91	1	1	2	1	-91	-91	-91	-91	91	36	1	1	2	1	-91	-91	-91	-91	42	85	1	1	5	7	2	3	1	1	1	1	7	7	7.1	13.4	3	7
NS25698C	10313	103	2.1748700190471	1	6	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	2	2	-91	35	51	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	10	3	5	1	0	0	2	-91	2	14.3	4.4	8	2
NS25699D	11703	117	1.24774184523204	1	7	2008	1	-91	-91	1	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS25701W	12346	123	1.13182042621644	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	81	-95	1	1	1	1	-91	-91	-91	-91	42	93	1	1	6	6	3	3	1	1	1	1	6	6	10	10	5	5
NS25702X	11026	110	.409555538650236	2	10	2008	1	-91	-91	1	2	-91	-91	1	1	1	3	-91	-91	-91	-91	92	64	1	1	2	2	-91	-91	-91	-91	41	55	1	1	4	6	2	3	1	1	1	1	7	6	7.1	10	3	5
NS25703Y	10841	108	1.07936339856861	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	3	-91	-91	-91	-91	11	22	1	1	1	2	-91	-91	-91	-91	61	80	1	1	7	7	3	3	1	1	1	1	6	4	10	2	5	1
NS25704Z	11747	117	1.71684090030424	2	10	2008	2	2	3	2	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	53	45	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	-91	-91	-91	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98
NS25707C	12327	123	.406646384192442	1	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	5	-91	2	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
