idacirscore_y,w2sexyp,w4ghq12scr,w2ethnicyp,w2fat5yp,bullied,truant,w2hiqualgmp,w3outschbyp,w7heflag,w9danvqh,w9dvnvqh,w9drussell,imdrscore_y,gor_x,marital_status_MP,w4lnpar,w3parqualmp,w4readsyp,w4concenyp,w4noconfyp,drugs,job_attd,w6univyp,w9_income_above_median
0.14,1.0,0.0,1.0,3.0,0.05263,1,3.0,2.0,2,1.0,6.0,3.0,12,6,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0
0.52,0.0,,1.0,1.0,0.05263,0,3.0,1.0,1,4.0,5.0,3.0,56,1,2.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,0.0
0.33,0.0,8.0,1.0,1.0,0.26316,1,3.0,2.0,2,4.0,4.0,3.0,37,2,1.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,0.0,1.0
0.31,0.0,1.0,3.0,2.0,0.0,0,5.0,2.0,2,6.0,6.0,3.0,51,2,2.0,2.0,,1.0,1.0,1.0,1.0,3.0,0.0,0.0
0.58,1.0,1.0,1.0,2.0,0.05263,0,5.0,1.0,1,3.0,6.0,3.0,52,7,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0
0.04,0.0,10.0,1.0,2.0,0.05263,1,4.0,1.0,2,5.0,3.0,1.0,14,3,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0
0.06,1.0,1.0,1.0,2.0,0.05263,0,3.0,2.0,1,4.0,5.0,2.0,14,4,2.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0
0.12,1.0,0.0,1.0,,0.15789,0,3.0,2.0,2,3.0,3.0,3.0,21,8,3.0,1.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0
0.33,1.0,2.0,3.0,2.0,0.0,0,5.0,2.0,2,4.0,6.0,3.0,41,4,2.0,2.0,,2.0,2.0,1.0,0.0,2.0,0.0,0.0
0.14,0.0,5.0,1.0,2.0,0.15789,1,3.0,2.0,2,4.0,6.0,2.0,23,9,3.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0
0.44,0.0,2.0,3.0,3.0,0.0,0,5.0,1.0,2,3.0,3.0,3.0,62,3,2.0,2.0,,4.0,3.0,2.0,0.0,3.0,0.0,0.0
0.05,0.0,1.0,1.0,1.0,0.10526,0,5.0,2.0,1,3.0,3.0,3.0,6,8,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
0.46,0.0,3.0,3.0,2.0,0.05263,0,1.0,1.0,1,4.0,5.0,2.0,43,7,2.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
0.3,1.0,0.0,3.0,4.0,0.05263,0,2.0,2.0,1,4.0,6.0,2.0,36,5,2.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0
0.1,1.0,0.0,3.0,3.0,0.05263,0,5.0,1.0,2,1.0,2.0,3.0,16,4,3.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0
0.01,0.0,0.0,1.0,,0.05263,0,2.0,1.0,2,4.0,5.0,2.0,2,2,2.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0
0.45,0.0,1.0,2.0,2.0,0.0,1,5.0,2.0,2,3.0,1.0,3.0,33,6,2.0,2.0,,3.0,1.0,2.0,0.0,2.0,0.0,0.0
0.12,0.0,8.0,1.0,2.0,0.05263,1,2.0,1.0,1,5.0,6.0,3.0,15,5,2.0,2.0,4.0,2.0,3.0,4.0,1.0,3.0,0.0,1.0
0.07,1.0,0.0,1.0,2.0,0.05263,0,2.0,1.0,2,4.0,5.0,3.0,11,8,2.0,2.0,3.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0
0.16,0.0,0.0,1.0,,0.26316,1,2.0,2.0,1,4.0,6.0,2.0,22,5,2.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0
0.02,1.0,,1.0,2.0,0.05263,0,2.0,2.0,1,4.0,5.0,2.0,6,8,2.0,2.0,3.0,1.0,3.0,,0.0,2.0,0.0,1.0
0.4,1.0,0.0,2.0,4.0,0.05263,0,5.0,1.0,2,2.0,6.0,3.0,41,9,1.0,1.0,4.0,5.0,2.0,1.0,0.0,3.0,0.0,1.0
